titles,summaries,terms
Representative Graph Neural Network,"Non-local operation is widely explored to model the long-range dependencies.
However, the redundant computation in this operation leads to a prohibitive
complexity. In this paper, we present a Representative Graph (RepGraph) layer
to dynamically sample a few representative features, which dramatically reduces
redundancy. Instead of propagating the messages from all positions, our
RepGraph layer computes the response of one node merely with a few
representative nodes. The locations of representative nodes come from a learned
spatial offset matrix. The RepGraph layer is flexible to integrate into many
visual architectures and combine with other operations. With the application of
semantic segmentation, without any bells and whistles, our RepGraph network can
compete or perform favourably against the state-of-the-art methods on three
challenging benchmarks: ADE20K, Cityscapes, and PASCAL-Context datasets. In the
task of object detection, our RepGraph layer can also improve the performance
on the COCO dataset compared to the non-local operation. Code is available at
https://git.io/RepGraph.",['Computer Vision and Pattern Recognition']
Ensembling with Deep Generative Views,"Recent generative models can synthesize ""views"" of artificial images that
mimic real-world variations, such as changes in color or pose, simply by
learning from unlabeled image collections. Here, we investigate whether such
views can be applied to real images to benefit downstream analysis tasks such
as image classification. Using a pretrained generator, we first find the latent
code corresponding to a given real input image. Applying perturbations to the
code creates natural variations of the image, which can then be ensembled
together at test-time. We use StyleGAN2 as the source of generative
augmentations and investigate this setup on classification tasks involving
facial attributes, cat faces, and cars. Critically, we find that several design
decisions are required towards making this process work; the perturbation
procedure, weighting between the augmentations and original image, and training
the classifier on synthesized images can all impact the result. Currently, we
find that while test-time ensembling with GAN-based augmentations can offer
some small improvements, the remaining bottlenecks are the efficiency and
accuracy of the GAN reconstructions, coupled with classifier sensitivities to
artifacts in GAN-generated images.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Pose Invariant Person Re-Identification using Robust Pose-transformation GAN,"The objective of person re-identification (re-ID) is to retrieve a person's
images from an image gallery, given a single instance of the person of
interest. Despite several advancements, learning discriminative
identity-sensitive and viewpoint invariant features for robust Person
Re-identification is a major challenge owing to the large pose variation of
humans. This paper proposes a re-ID pipeline that utilizes the image generation
capability of Generative Adversarial Networks combined with pose clustering and
feature fusion to achieve pose invariant feature learning. The objective is to
model a given person under different viewpoints and large pose changes and
extract the most discriminative features from all the appearances. The pose
transformational GAN (pt-GAN) module is trained to generate a person's image in
any given pose. In order to identify the most significant poses for
discriminative feature extraction, a Pose Clustering module is proposed. The
given instance of the person is modelled in varying poses and these features
are effectively combined through the Feature Fusion Network. The final re-ID
model consisting of these 3 sub-blocks, alleviates the pose dependence in
person re-ID. Also, The proposed model is robust to occlusion, scale, rotation
and illumination, providing a framework for viewpoint invariant feature
learning. The proposed method outperforms the state-of-the-art GAN based models
in 4 benchmark datasets. It also surpasses the state-of-the-art models that
report higher re-ID accuracy in terms of improvement over baseline.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence', 'Machine Learning']"
A Sim2Real Deep Learning Approach for the Transformation of Images from Multiple Vehicle-Mounted Cameras to a Semantically Segmented Image in Bird's Eye View,"Accurate environment perception is essential for automated driving. When
using monocular cameras, the distance estimation of elements in the environment
poses a major challenge. Distances can be more easily estimated when the camera
perspective is transformed to a bird's eye view (BEV). For flat surfaces,
Inverse Perspective Mapping (IPM) can accurately transform images to a BEV.
Three-dimensional objects such as vehicles and vulnerable road users are
distorted by this transformation making it difficult to estimate their position
relative to the sensor. This paper describes a methodology to obtain a
corrected 360{\deg} BEV image given images from multiple vehicle-mounted
cameras. The corrected BEV image is segmented into semantic classes and
includes a prediction of occluded areas. The neural network approach does not
rely on manually labeled data, but is trained on a synthetic dataset in such a
way that it generalizes well to real-world data. By using semantically
segmented images as input, we reduce the reality gap between simulated and
real-world data and are able to show that our method can be successfully
applied in the real world. Extensive experiments conducted on the synthetic
data demonstrate the superiority of our approach compared to IPM. Source code
and datasets are available at https://github.com/ika-rwth-aachen/Cam2BEV","['Computer Vision and Pattern Recognition', 'Machine Learning']"
TransCrowd: Weakly-Supervised Crowd Counting with Transformer,"The mainstream crowd counting methods usually utilize the convolution neural
network (CNN) to regress a density map, requiring point-level annotations.
However, annotating each person with a point is an expensive and laborious
process. During the testing phase, the point-level annotations are not
considered to evaluate the counting accuracy, which means the point-level
annotations are redundant. Hence, it is desirable to develop weakly-supervised
counting methods that just rely on count level annotations, a more economical
way of labeling. Current weakly-supervised counting methods adopt the CNN to
regress a total count of the crowd by an image-to-count paradigm. However,
having limited receptive fields for context modeling is an intrinsic limitation
of these weakly-supervised CNN-based methods. These methods thus can not
achieve satisfactory performance, limited applications in the real-word. The
Transformer is a popular sequence-to-sequence prediction model in NLP, which
contains a global receptive field. In this paper, we propose TransCrowd, which
reformulates the weakly-supervised crowd counting problem from the perspective
of sequence-to-count based on Transformer. We observe that the proposed
TransCrowd can effectively extract the semantic crowd information by using the
self-attention mechanism of Transformer. To the best of our knowledge, this is
the first work to adopt a pure Transformer for crowd counting research.
Experiments on five benchmark datasets demonstrate that the proposed TransCrowd
achieves superior performance compared with all the weakly-supervised CNN-based
counting methods and gains highly competitive counting performance compared
with some popular fully-supervised counting methods. Code is available at
https://github.com/dk-liang/TransCrowd.",['Computer Vision and Pattern Recognition']
3D Cell Nuclei Segmentation with Balanced Graph Partitioning,"Cell nuclei segmentation is one of the most important tasks in the analysis
of biomedical images. With ever-growing sizes and amounts of three-dimensional
images to be processed, there is a need for better and faster segmentation
methods. Graph-based image segmentation has seen a rise in popularity in recent
years, but is seen as very costly with regard to computational demand. We
propose a new segmentation algorithm which overcomes these limitations. Our
method uses recursive balanced graph partitioning to segment foreground
components of a fast and efficient binarization. We construct a model for the
cell nuclei to guide the partitioning process. Our algorithm is compared to
other state-of-the-art segmentation algorithms in an experimental evaluation on
two sets of realistically simulated inputs. Our method is faster, has similar
or better quality and an acceptable memory overhead.","['Computer Vision and Pattern Recognition', 'Data Structures and Algorithms']"
Explicit topological priors for deep-learning based image segmentation using persistent homology,"We present a novel method to explicitly incorporate topological prior
knowledge into deep learning based segmentation, which is, to our knowledge,
the first work to do so. Our method uses the concept of persistent homology, a
tool from topological data analysis, to capture high-level topological
characteristics of segmentation results in a way which is differentiable with
respect to the pixelwise probability of being assigned to a given class. The
topological prior knowledge consists of the sequence of desired Betti numbers
of the segmentation. As a proof-of-concept we demonstrate our approach by
applying it to the problem of left-ventricle segmentation of cardiac MR images
of 500 subjects from the UK Biobank dataset, where we show that it improves
segmentation performance in terms of topological correctness without
sacrificing pixelwise accuracy.",['Computer Vision and Pattern Recognition']
Learning to Augment Expressions for Few-shot Fine-grained Facial Expression Recognition,"Affective computing and cognitive theory are widely used in modern
human-computer interaction scenarios. Human faces, as the most prominent and
easily accessible features, have attracted great attention from researchers.
Since humans have rich emotions and developed musculature, there exist a lot of
fine-grained expressions in real-world applications. However, it is extremely
time-consuming to collect and annotate a large number of facial images, of
which may even require psychologists to correctly categorize them. To the best
of our knowledge, the existing expression datasets are only limited to several
basic facial expressions, which are not sufficient to support our ambitions in
developing successful human-computer interaction systems. To this end, a novel
Fine-grained Facial Expression Database - F2ED is contributed in this paper,
and it includes more than 200k images with 54 facial expressions from 119
persons. Considering the phenomenon of uneven data distribution and lack of
samples is common in real-world scenarios, we further evaluate several tasks of
few-shot expression learning by virtue of our F2ED, which are to recognize the
facial expressions given only few training instances. These tasks mimic human
performance to learn robust and general representation from few examples. To
address such few-shot tasks, we propose a unified task-driven framework -
Compositional Generative Adversarial Network (Comp-GAN) learning to synthesize
facial images and thus augmenting the instances of few-shot expression classes.
Extensive experiments are conducted on F2ED and existing facial expression
datasets, i.e., JAFFE and FER2013, to validate the efficacy of our F2ED in
pre-training facial expression recognition network and the effectiveness of our
proposed approach Comp-GAN to improve the performance of few-shot recognition
tasks.",['Computer Vision and Pattern Recognition']
Pri3D: Can 3D Priors Help 2D Representation Learning?,"Recent advances in 3D perception have shown impressive progress in
understanding geometric structures of 3Dshapes and even scenes. Inspired by
these advances in geometric understanding, we aim to imbue image-based
perception with representations learned under geometric constraints. We
introduce an approach to learn view-invariant,geometry-aware representations
for network pre-training, based on multi-view RGB-D data, that can then be
effectively transferred to downstream 2D tasks. We propose to employ
contrastive learning under both multi-view im-age constraints and
image-geometry constraints to encode3D priors into learned 2D representations.
This results not only in improvement over 2D-only representation learning on
the image-based tasks of semantic segmentation, instance segmentation, and
object detection on real-world in-door datasets, but moreover, provides
significant improvement in the low data regime. We show a significant
improvement of 6.0% on semantic segmentation on full data as well as 11.9% on
20% data against baselines on ScanNet.",['Computer Vision and Pattern Recognition']
Co-occurrence Based Texture Synthesis,"As image generation techniques mature, there is a growing interest in
explainable representations that are easy to understand and intuitive to
manipulate. In this work, we turn to co-occurrence statistics, which have long
been used for texture analysis, to learn a controllable texture synthesis
model. We propose a fully convolutional generative adversarial network,
conditioned locally on co-occurrence statistics, to generate arbitrarily large
images while having local, interpretable control over the texture appearance.
To encourage fidelity to the input condition, we introduce a novel
differentiable co-occurrence loss that is integrated seamlessly into our
framework in an end-to-end fashion. We demonstrate that our solution offers a
stable, intuitive and interpretable latent representation for texture
synthesis, which can be used to generate a smooth texture morph between
different textures. We further show an interactive texture tool that allows a
user to adjust local characteristics of the synthesized texture image using the
co-occurrence values directly.",['Computer Vision and Pattern Recognition']
CaT: Weakly Supervised Object Detection with Category Transfer,"A large gap exists between fully-supervised object detection and
weakly-supervised object detection. To narrow this gap, some methods consider
knowledge transfer from additional fully-supervised dataset. But these methods
do not fully exploit discriminative category information in the
fully-supervised dataset, thus causing low mAP. To solve this issue, we propose
a novel category transfer framework for weakly supervised object detection. The
intuition is to fully leverage both visually-discriminative and
semantically-correlated category information in the fully-supervised dataset to
enhance the object-classification ability of a weakly-supervised detector. To
handle overlapping category transfer, we propose a double-supervision mean
teacher to gather common category information and bridge the domain gap between
two datasets. To handle non-overlapping category transfer, we propose a
semantic graph convolutional network to promote the aggregation of semantic
features between correlated categories. Experiments are conducted with Pascal
VOC 2007 as the target weakly-supervised dataset and COCO as the source
fully-supervised dataset. Our category transfer framework achieves 63.5% mAP
and 80.3% CorLoc with 5 overlapping categories between two datasets, which
outperforms the state-of-the-art methods. Codes are avaliable at
https://github.com/MediaBrain-SJTU/CaT.",['Computer Vision and Pattern Recognition']
Visual Natural Language Query Auto-Completion for Estimating Instance Probabilities,"We present a new task of query auto-completion for estimating instance
probabilities. We complete a user query prefix conditioned upon an image. Given
the complete query, we fine tune a BERT embedding for estimating probabilities
of a broad set of instances. The resulting instance probabilities are used for
selection while being agnostic to the segmentation or attention mechanism. Our
results demonstrate that auto-completion using both language and vision
performs better than using only language, and that fine tuning a BERT embedding
allows to efficiently rank instances in the image. In the spirit of
reproducible research we make our data, models, and code available.","['Computer Vision and Pattern Recognition', 'Computation and Language', 'Machine Learning']"
Multilanguage Number Plate Detection using Convolutional Neural Networks,"Object Detection is a popular field of research for recent technologies. In
recent years, profound learning performance attracts the researchers to use it
in many applications. Number plate (NP) detection and classification is
analyzed over decades however, it needs approaches which are more precise and
state, language and design independent since cars are now moving from state to
another easily. In this paperwe suggest a new strategy to detect NP and
comprehend the nation, language and layout of NPs. YOLOv2 sensor with ResNet
attribute extractor heart is proposed for NP detection and a brand new
convolutional neural network architecture is suggested to classify NPs. The
detector achieves average precision of 99.57% and country, language and layout
classification precision of 99.33%. The results outperforms the majority of the
previous works and can move the area forward toward international NP detection
and recognition.",['Computer Vision and Pattern Recognition']
Fourier Series Expansion Based Filter Parametrization for Equivariant Convolutions,"It has been shown that equivariant convolution is very helpful for many types
of computer vision tasks. Recently, the 2D filter parametrization technique
plays an important role when designing equivariant convolutions. However, the
current filter parametrization method still has its evident drawbacks, where
the most critical one lies in the accuracy problem of filter representation.
Against this issue, in this paper we modify the classical Fourier series
expansion for 2D filters, and propose a new set of atomic basis functions for
filter parametrization. The proposed filter parametrization method not only
finely represents 2D filters with zero error when the filter is not rotated,
but also substantially alleviates the fence-effect-caused quality degradation
when the filter is rotated. Accordingly, we construct a new equivariant
convolution method based on the proposed filter parametrization method, named
F-Conv. We prove that the equivariance of the proposed F-Conv is exact in the
continuous domain, which becomes approximate only after discretization.
Extensive experiments show the superiority of the proposed method.
Particularly, we adopt rotation equivariant convolution methods to image
super-resolution task, and F-Conv evidently outperforms previous filter
parametrization based method in this task, reflecting its intrinsic capability
of faithfully preserving rotation symmetries in local image features.",['Computer Vision and Pattern Recognition']
Geography-Aware Self-Supervised Learning,"Contrastive learning methods have significantly narrowed the gap between
supervised and unsupervised learning on computer vision tasks. In this paper,
we explore their application to remote sensing, where unlabeled data is often
abundant but labeled data is scarce. We first show that due to their different
characteristics, a non-trivial gap persists between contrastive and supervised
learning on standard benchmarks. To close the gap, we propose novel training
methods that exploit the spatiotemporal structure of remote sensing data. We
leverage spatially aligned images over time to construct temporal positive
pairs in contrastive learning and geo-location to design pre-text tasks. Our
experiments show that our proposed method closes the gap between contrastive
and supervised learning on image classification, object detection and semantic
segmentation for remote sensing and other geo-tagged image datasets.",['Computer Vision and Pattern Recognition']
Visual Rhythm Prediction with Feature-Aligning Network,"In this paper, we propose a data-driven visual rhythm prediction method,
which overcomes the previous works' deficiency that predictions are made
primarily by human-crafted hard rules. In our approach, we first extract
features including original frames and their residuals, optical flow, scene
change, and body pose. These visual features will be next taken into an
end-to-end neural network as inputs. Here we observe that there are some slight
misaligning between features over the timeline and assume that this is due to
the distinctions between how different features are computed. To solve this
problem, the extracted features are aligned by an elaborately designed layer,
which can also be applied to other models suffering from mismatched features,
and boost performance. Then these aligned features are fed into sequence
labeling layers implemented with BiLSTM and CRF to predict the onsets. Due to
the lack of existing public training and evaluation set, we experiment on a
dataset constructed by ourselves based on professionally edited Music Videos
(MVs), and the F1 score of our approach reaches 79.6.",['Computer Vision and Pattern Recognition']
Object Relational Graph with Teacher-Recommended Learning for Video Captioning,"Taking full advantage of the information from both vision and language is
critical for the video captioning task. Existing models lack adequate visual
representation due to the neglect of interaction between object, and sufficient
training for content-related words due to long-tailed problems. In this paper,
we propose a complete video captioning system including both a novel model and
an effective training strategy. Specifically, we propose an object relational
graph (ORG) based encoder, which captures more detailed interaction features to
enrich visual representation. Meanwhile, we design a teacher-recommended
learning (TRL) method to make full use of the successful external language
model (ELM) to integrate the abundant linguistic knowledge into the caption
model. The ELM generates more semantically similar word proposals which extend
the ground-truth words used for training to deal with the long-tailed problem.
Experimental evaluations on three benchmarks: MSVD, MSR-VTT and VATEX show the
proposed ORG-TRL system achieves state-of-the-art performance. Extensive
ablation studies and visualizations illustrate the effectiveness of our system.","['Computer Vision and Pattern Recognition', 'Computation and Language']"
Learning Graph Representations with Embedding Propagation,"We propose Embedding Propagation (EP), an unsupervised learning framework for
graph-structured data. EP learns vector representations of graphs by passing
two types of messages between neighboring nodes. Forward messages consist of
label representations such as representations of words and other attributes
associated with the nodes. Backward messages consist of gradients that result
from aggregating the label representations and applying a reconstruction loss.
Node representations are finally computed from the representation of their
labels. With significantly fewer parameters and hyperparameters an instance of
EP is competitive with and often outperforms state of the art unsupervised and
semi-supervised learning methods on a range of benchmark data sets.",['Machine Learning']
Causally-motivated Shortcut Removal Using Auxiliary Labels,"Robustness to certain forms of distribution shift is a key concern in many ML
applications. Often, robustness can be formulated as enforcing invariances to
particular interventions on the data generating process. Here, we study a
flexible, causally-motivated approach to enforcing such invariances, paying
special attention to shortcut learning, where a robust predictor can achieve
optimal i.i.d generalization in principle, but instead it relies on spurious
correlations or shortcuts in practice. Our approach uses auxiliary labels,
typically available at training time, to enforce conditional independences
between the latent factors that determine these labels. We show both
theoretically and empirically that causally-motivated regularization schemes
(a) lead to more robust estimators that generalize well under distribution
shift, and (b) have better finite sample efficiency compared to usual
regularization schemes, even in the absence of distribution shifts. Our
analysis highlights important theoretical properties of training techniques
commonly used in causal inference, fairness, and disentanglement literature.",['Machine Learning']
Channel Scaling: A Scale-and-Select Approach for Transfer Learning,"Transfer learning with pre-trained neural networks is a common strategy for
training classifiers in medical image analysis. Without proper channel
selections, this often results in unnecessarily large models that hinder
deployment and explainability. In this paper, we propose a novel approach to
efficiently build small and well performing networks by introducing the
channel-scaling layers. A channel-scaling layer is attached to each frozen
convolutional layer, with the trainable scaling weights inferring the
importance of the corresponding feature channels. Unlike the fine-tuning
approaches, we maintain the weights of the original channels and large datasets
are not required. By imposing L1 regularization and thresholding on the scaling
weights, this framework iteratively removes unnecessary feature channels from a
pre-trained model. Using an ImageNet pre-trained VGG16 model, we demonstrate
the capabilities of the proposed framework on classifying opacity from chest
X-ray images. The results show that we can reduce the number of parameters by
95% while delivering a superior performance.",['Computer Vision and Pattern Recognition']
Barycenters of Natural Images -- Constrained Wasserstein Barycenters for Image Morphing,"Image interpolation, or image morphing, refers to a visual transition between
two (or more) input images. For such a transition to look visually appealing,
its desirable properties are (i) to be smooth; (ii) to apply the minimal
required change in the image; and (iii) to seem ""real"", avoiding unnatural
artifacts in each image in the transition. To obtain a smooth and
straightforward transition, one may adopt the well-known Wasserstein Barycenter
Problem (WBP). While this approach guarantees minimal changes under the
Wasserstein metric, the resulting images might seem unnatural. In this work, we
propose a novel approach for image morphing that possesses all three desired
properties. To this end, we define a constrained variant of the WBP that
enforces the intermediate images to satisfy an image prior. We describe an
algorithm that solves this problem and demonstrate it using the sparse prior
and generative adversarial networks.",['Computer Vision and Pattern Recognition']
Scalable Scene Flow from Point Clouds in the Real World,"Autonomous vehicles operate in highly dynamic environments necessitating an
accurate assessment of which aspects of a scene are moving and where they are
moving to. A popular approach to 3D motion estimation, termed scene flow, is to
employ 3D point cloud data from consecutive LiDAR scans, although such
approaches have been limited by the small size of real-world, annotated LiDAR
data. In this work, we introduce a new large-scale dataset for scene flow
estimation derived from corresponding tracked 3D objects, which is
$\sim$1,000$\times$ larger than previous real-world datasets in terms of the
number of annotated frames. We demonstrate how previous works were bounded
based on the amount of real LiDAR data available, suggesting that larger
datasets are required to achieve state-of-the-art predictive performance.
Furthermore, we show how previous heuristics for operating on point clouds such
as down-sampling heavily degrade performance, motivating a new class of models
that are tractable on the full point cloud. To address this issue, we introduce
the FastFlow3D architecture which provides real time inference on the full
point cloud. Additionally, we design human-interpretable metrics that better
capture real world aspects by accounting for ego-motion and providing
breakdowns per object type. We hope that this dataset may provide new
opportunities for developing real world scene flow systems.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Explanation based Handwriting Verification,"Deep learning system have drawback that their output is not accompanied with
ex-planation. In a domain such as forensic handwriting verification it is
essential to provideexplanation to jurors. The goal of handwriting verification
is to find a measure of confi-dence whether the given handwritten samples are
written by the same or different writer.We propose a method to generate
explanations for the confidence provided by convolu-tional neural network (CNN)
which maps the input image to 15 annotations (features)provided by experts. Our
system comprises of: (1) Feature learning network (FLN),a differentiable
system, (2) Inference module for providing explanations. Furthermore,inference
module provides two types of explanations: (a) Based on cosine
similaritybetween categorical probabilities of each feature, (b) Based on
Log-Likelihood Ratio(LLR) using directed probabilistic graphical model. We
perform experiments using acombination of feature learning network (FLN) and
each inference module. We evaluateour system using XAI-AND dataset, containing
13700 handwritten samples and 15 cor-responding expert examined features for
each sample. The dataset is released for publicuse and the methods can be
extended to provide explanations on other verification taskslike face
verification and bio-medical comparison. This dataset can serve as the basis
and benchmark for future research in explanation based handwriting
verification. The code is available on github.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
TENT: Tensorized Encoder Transformer for Temperature Forecasting,"Reliable weather forecasting is of great importance in science, business and
society. The best performing data-driven models for weather prediction tasks
rely on recurrent or convolutional neural networks, where some of which
incorporate attention mechanisms. In this work, we introduce a new model based
on the Transformer architecture for weather forecasting. The proposed Tensorial
Encoder Transformer (TENT) model is equipped with tensorial attention and thus
it exploits the spatiotemporal structure of weather data by processing it in
multidimensional tensorial format. We show that compared to the encoder part of
the original transformer and 3D convolutional neural networks, the proposed
TENT model can better model the underlying complex pattern of weather data for
the studied temperature prediction task. Experiments on two real-life weather
datasets are performed. The datasets consist of historical measurements from
USA, Canada and European cities. The first dataset contains hourly measurements
of weather attributes for 30 cities in USA and Canada from October 2012 to
November 2017. The second dataset contains daily measurements of weather
attributes of 18 cities across Europe from May 2005 to April 2020. We use
attention scores calculated from our attention mechanism to shed light on the
decision-making process of our model and have insight knowledge on the most
important cities for the task.","['Machine Learning', 'Artificial Intelligence']"
Automating Vehicles by Deep Reinforcement Learning using Task Separation with Hill Climbing,"Within the context of autonomous driving a model-based reinforcement learning
algorithm is proposed for the design of neural network-parameterized
controllers. Classical model-based control methods, which include sampling- and
lattice-based algorithms and model predictive control, suffer from the
trade-off between model complexity and computational burden required for the
online solution of expensive optimization or search problems at every short
sampling time. To circumvent this trade-off, a 2-step procedure is motivated:
first learning of a controller during offline training based on an arbitrarily
complicated mathematical system model, before online fast feedforward
evaluation of the trained controller. The contribution of this paper is the
proposition of a simple gradient-free and model-based algorithm for deep
reinforcement learning using task separation with hill climbing (TSHC). In
particular, (i) simultaneous training on separate deterministic tasks with the
purpose of encoding many motion primitives in a neural network, and (ii) the
employment of maximally sparse rewards in combination with virtual velocity
constraints (VVCs) in setpoint proximity are advocated.","['Machine Learning', 'Robotics']"
LiMIIRL: Lightweight Multiple-Intent Inverse Reinforcement Learning,"Multiple-Intent Inverse Reinforcement Learning (MI-IRL) seeks to find a
reward function ensemble to rationalize demonstrations of different but
unlabelled intents. Within the popular expectation maximization (EM) framework
for learning probabilistic MI-IRL models, we present a warm-start strategy
based on up-front clustering of the demonstrations in feature space. Our
theoretical analysis shows that this warm-start solution produces a
near-optimal reward ensemble, provided the behavior modes satisfy mild
separation conditions. We also propose a MI-IRL performance metric that
generalizes the popular Expected Value Difference measure to directly assesses
learned rewards against the ground-truth reward ensemble. Our metric elegantly
addresses the difficulty of pairing up learned and ground truth rewards via a
min-cost flow formulation, and is efficiently computable. We also develop a
MI-IRL benchmark problem that allows for more comprehensive algorithmic
evaluations. On this problem, we find our MI-IRL warm-start strategy helps
avoid poor quality local minima reward ensembles, resulting in a significant
improvement in behavior clustering. Our extensive sensitivity analysis
demonstrates that the quality of the learned reward ensembles is improved under
various settings, including cases where our theoretical assumptions do not
necessarily hold. Finally, we demonstrate the effectiveness of our methods by
discovering distinct driving styles in a large real-world dataset of driver GPS
trajectories.","['Machine Learning', 'Artificial Intelligence', 'Robotics']"
Zero-Shot Learning via Class-Conditioned Deep Generative Models,"We present a deep generative model for learning to predict classes not seen
at training time. Unlike most existing methods for this problem, that represent
each class as a point (via a semantic embedding), we represent each seen/unseen
class using a class-specific latent-space distribution, conditioned on class
attributes. We use these latent-space distributions as a prior for a supervised
variational autoencoder (VAE), which also facilitates learning highly
discriminative feature representations for the inputs. The entire framework is
learned end-to-end using only the seen-class training data. The model infers
corresponding attributes of a test image by maximizing the VAE lower bound; the
inferred attributes may be linked to labels not seen when training. We further
extend our model to a (1) semi-supervised/transductive setting by leveraging
unlabeled unseen-class data via an unsupervised learning module, and (2)
few-shot learning where we also have a small number of labeled inputs from the
unseen classes. We compare our model with several state-of-the-art methods
through a comprehensive set of experiments on a variety of benchmark data sets.","['Machine Learning', 'Computer Vision and Pattern Recognition']"
Exploring Corruption Robustness: Inductive Biases in Vision Transformers and MLP-Mixers,"Recently, vision transformers and MLP-based models have been developed in
order to address some of the prevalent weaknesses in convolutional neural
networks. Due to the novelty of transformers being used in this domain along
with the self-attention mechanism, it remains unclear to what degree these
architectures are robust to corruptions. Despite some works proposing that data
augmentation remains essential for a model to be robust against corruptions, we
propose to explore the impact that the architecture has on corruption
robustness. We find that vision transformer architectures are inherently more
robust to corruptions than the ResNet-50 and MLP-Mixers. We also find that
vision transformers with 5 times fewer parameters than a ResNet-50 have more
shape bias. Our code is available to reproduce.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Generating High Quality Visible Images from SAR Images Using CNNs,"We propose a novel approach for generating high quality visible-like images
from Synthetic Aperture Radar (SAR) images using Deep Convolutional Generative
Adversarial Network (GAN) architectures. The proposed approach is based on a
cascaded network of convolutional neural nets (CNNs) for despeckling and image
colorization. The cascaded structure results in faster convergence during
training and produces high quality visible images from the corresponding SAR
images. Experimental results on both simulated and real SAR images show that
the proposed method can produce visible-like images better compared to the
recent state-of-the-art deep learning-based methods.",['Computer Vision and Pattern Recognition']
Look Before you Speak: Visually Contextualized Utterances,"While most conversational AI systems focus on textual dialogue only,
conditioning utterances on visual context (when it's available) can lead to
more realistic conversations. Unfortunately, a major challenge for
incorporating visual context into conversational dialogue is the lack of
large-scale labeled datasets. We provide a solution in the form of a new
visually conditioned Future Utterance Prediction task. Our task involves
predicting the next utterance in a video, using both visual frames and
transcribed speech as context. By exploiting the large number of instructional
videos online, we train a model to solve this task at scale, without the need
for manual annotations. Leveraging recent advances in multimodal learning, our
model consists of a novel co-attentional multimodal video transformer, and when
trained on both textual and visual context, outperforms baselines that use
textual inputs alone. Further, we demonstrate that our model trained for this
task on unlabelled videos achieves state-of-the-art performance on a number of
downstream VideoQA benchmarks such as MSRVTT-QA, MSVD-QA, ActivityNet-QA and
How2QA.","['Computer Vision and Pattern Recognition', 'Human-Computer Interaction']"
Learning Large DAGs by Combining Continuous Optimization and Feedback Arc Set Heuristics,"Bayesian networks represent relations between variables using a directed
acyclic graph (DAG). Learning the DAG is an NP-hard problem and exact learning
algorithms are feasible only for small sets of variables. We propose two
scalable heuristics for learning DAGs in the linear structural equation case.
Our methods learn the DAG by alternating between unconstrained gradient
descent-based step to optimize an objective function and solving a maximum
acyclic subgraph problem to enforce acyclicity. Thanks to this decoupling, our
methods scale up beyond thousands of variables.",['Machine Learning']
Action-Based Representation Learning for Autonomous Driving,"Human drivers produce a vast amount of data which could, in principle, be
used to improve autonomous driving systems. Unfortunately, seemingly
straightforward approaches for creating end-to-end driving models that map
sensor data directly into driving actions are problematic in terms of
interpretability, and typically have significant difficulty dealing with
spurious correlations. Alternatively, we propose to use this kind of
action-based driving data for learning representations. Our experiments show
that an affordance-based driving model pre-trained with this approach can
leverage a relatively small amount of weakly annotated imagery and outperform
pure end-to-end driving models, while being more interpretable. Further, we
demonstrate how this strategy outperforms previous methods based on learning
inverse dynamics models as well as other methods based on heavy human
supervision (ImageNet).","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Robotics']"
Web-Scale Training for Face Identification,"Scaling machine learning methods to very large datasets has attracted
considerable attention in recent years, thanks to easy access to ubiquitous
sensing and data from the web. We study face recognition and show that three
distinct properties have surprising effects on the transferability of deep
convolutional networks (CNN): (1) The bottleneck of the network serves as an
important transfer learning regularizer, and (2) in contrast to the common
wisdom, performance saturation may exist in CNN's (as the number of training
samples grows); we propose a solution for alleviating this by replacing the
naive random subsampling of the training set with a bootstrapping process.
Moreover, (3) we find a link between the representation norm and the ability to
discriminate in a target domain, which sheds lights on how such networks
represent faces. Based on these discoveries, we are able to improve face
recognition accuracy on the widely used LFW benchmark, both in the verification
(1:1) and identification (1:N) protocols, and directly compare, for the first
time, with the state of the art Commercially-Off-The-Shelf system and show a
sizable leap in performance.",['Computer Vision and Pattern Recognition']
